subject,body,sender,label
Security alert: Unusual activity on your Chase account,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-secure-update.ml,1
Important: Your USPS subscription is expiring,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-secure-update.ml,1
Important: Your Google subscription is expiring,"Dear Customer,

We have detected a problem with your Google account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://google-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Google Security Team",security@google-verify-now.xyz,1
URGENT: Verify your Bank of America account,"Dear Customer,

We have detected a problem with your Bank of America account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://bank-of-america-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Bank of America Security Team",security@bank-of-america-account-alert.tk,1
Weekly report for mysite.com,"Weekly report for mysite.com:
Sessions: 45721
Users: 18241
Bounce rate: 28%

View: https://analytics.google.com",analytics-noreply@google.com,0
Congratulations! You won a USPS gift card,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-account-alert.tk,1
IT Security: Password reset required,"Dear Employee,

Our IT security system has flagged your account. You must reset your password within 24 hours or lose access.

Reset now: http://it-security-reset.xyz/password

Enter current password and choose a new one.

IT Security Team",itsecurity@company-it-alert.tk,1
Course completion: Machine Learning certificate,"Congratulations!

You completed Introduction to Machine Learning with Python.

Grade: 94/100 — Distinction
Certificate: https://learn.platform.com/certificates/ml-python-2024

Skills: Supervised Learning, Neural Networks, Feature Engineering

Education Platform",certificates@learn-platform.com,0
BACK-89 updated by Alice,"Alice updated BACK-89: status changed to In Review.

View: https://company.atlassian.net/browse/BACK-89",jira@atlassian.com,0
Security alert: Unusual activity on your USPS account,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-verify-now.xyz,1
Your build passed on branch main,"Build #5534 on main passed all checks.

View: https://github.com/org/repo/actions/runs/5534",noreply@github.com,0
Final notice: Apple account closure,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-login-verify.net,1
Important: Your PayPal subscription is expiring,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-account-alert.tk,1
Your PayPal password needs to be updated immediately,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-secure-update.ml,1
Your Apple password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-account-alert.tk,1
AWS Budget alert: 92% used,"Your AWS budget ""Monthly Budget"" has reached 92%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Action required: DHL billing issue,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-verify-now.xyz,1
You have new messages in #dev,"You have 7834 unread messages in #dev.

Open Slack: https://app.slack.com",notifications@slack.com,0
Important: Your Amazon subscription is expiring,"Dear Customer,

We have detected a problem with your Amazon account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://amazon-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Amazon Security Team",security@amazon-urgent-action.xyz,1
Your build passed on branch hotfix/bug-123,"Build #6988 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/6988",noreply@github.com,0
Your Facebook password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Facebook account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://facebook-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Facebook Security Team",security@facebook-verify-now.xyz,1
Your build passed on branch main,"Build #5719 on main passed all checks.

View: https://github.com/org/repo/actions/runs/5719",noreply@github.com,0
Your Netflix account has been suspended,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-verify-now.xyz,1
AWS Budget alert: 92% used,"Your AWS budget ""Monthly Budget"" has reached 92%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Congratulations! You won a Coinbase gift card,"Dear Customer,

We have detected a problem with your Coinbase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://coinbase-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Coinbase Security Team",security@coinbase-urgent-action.xyz,1
Slack: New message from Alex,"Hi,

Alex Chen sent you a message in #general:

'Hey, can you review the PR I opened for the login module? I addressed all the comments.'

View in Slack: https://app.slack.com/client/T123/C456

Slack",notifications@slack.com,0
AWS Budget alert: 77% used,"Your AWS budget ""Monthly Budget"" has reached 77%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Action required: Google billing issue,"Dear Customer,

We have detected a problem with your Google account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://google-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Google Security Team",security@google-login-verify.net,1
FRONT-321 updated by Dave,"Dave updated FRONT-321: status changed to In Review.

View: https://company.atlassian.net/browse/FRONT-321",jira@atlassian.com,0
Important: Your Apple subscription is expiring,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-account-alert.tk,1
Security alert: Unusual activity on your DHL account,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-login-verify.net,1
Your Chase password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-account-alert.tk,1
Payment received: $964.77,"You received $964.77 from Carol Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Payment received: $528.21,"You received $528.21 from Bob Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
You have new messages in #dev,"You have 2375 unread messages in #dev.

Open Slack: https://app.slack.com",notifications@slack.com,0
Security alert: Unusual activity on your Facebook account,"Dear Customer,

We have detected a problem with your Facebook account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://facebook-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Facebook Security Team",security@facebook-login-verify.net,1
Action required: Netflix billing issue,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-claim-reward.click,1
Your Amazon password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Amazon account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://amazon-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Amazon Security Team",security@amazon-login-verify.net,1
Your Facebook password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Facebook account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://facebook-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Facebook Security Team",security@facebook-login-verify.net,1
Your Apple ID has been disabled,"Your Apple ID was disabled for security reasons.

Sign-in attempt from unknown device detected.

Verify now: http://apple-id.support-verify.tk/

Enter Apple ID credentials and credit card to confirm identity.

Act within 12 hours or lose access permanently.

Apple Support",appleid@apple.com.verify-support.xyz,1
Security alert: Unusual activity on your Netflix account,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-urgent-action.xyz,1
Your Bank of America account has been suspended,"Dear Customer,

We have detected a problem with your Bank of America account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://bank-of-america-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Bank of America Security Team",security@bank-of-america-secure-update.ml,1
AWS Budget alert: 67% used,"Your AWS budget ""Monthly Budget"" has reached 67%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
URGENT: Verify your Coinbase account,"Dear Customer,

We have detected a problem with your Coinbase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://coinbase-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Coinbase Security Team",security@coinbase-urgent-action.xyz,1
Weekly report for mysite.com,"Weekly report for mysite.com:
Sessions: 17071
Users: 15981
Bounce rate: 60%

View: https://analytics.google.com",analytics-noreply@google.com,0
Your build passed on branch develop,"Build #605 on develop passed all checks.

View: https://github.com/org/repo/actions/runs/605",noreply@github.com,0
Security alert: Unusual activity on your Netflix account,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-secure-update.ml,1
Final notice: Netflix account closure,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-claim-reward.click,1
VIRUS DETECTED on your computer,"URGENT: Our security scan detected 5 viruses on your computer.

Remove now: http://tech-support-virus-remove.xyz/clean

Call our toll-free number: 1-800-FAKE-999

Free virus removal for 24 hours only.

Microsoft Tech Support",alert@microsoft-techsupport-alert.ml,1
Your USPS account has been suspended,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-claim-reward.click,1
Your build passed on branch main,"Build #1507 on main passed all checks.

View: https://github.com/org/repo/actions/runs/1507",noreply@github.com,0
Congratulations! You won a USPS gift card,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-claim-reward.click,1
Final notice: DHL account closure,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-verify-now.xyz,1
URGENT: Verify your USPS account,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-verify-now.xyz,1
Your DHL password needs to be updated immediately,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-verify-now.xyz,1
You have new messages in #releases,"You have 2921 unread messages in #releases.

Open Slack: https://app.slack.com",notifications@slack.com,0
LinkedIn: 3 new connection requests,"Hi,

You have 3 new connection requests.

- Alice Johnson (Software Engineer at Google)
- Bob Williams (Product Manager at Microsoft)
- Carol Davis (Data Scientist at Meta)

View: https://www.linkedin.com/mynetwork/

LinkedIn",messages-noreply@linkedin.com,0
You have new messages in #releases,"You have 1606 unread messages in #releases.

Open Slack: https://app.slack.com",notifications@slack.com,0
Security alert: Unusual activity on your Bank of America account,"Dear Customer,

We have detected a problem with your Bank of America account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://bank-of-america-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Bank of America Security Team",security@bank-of-america-account-alert.tk,1
Weekly report for mysite.com,"Weekly report for mysite.com:
Sessions: 38840
Users: 22962
Bounce rate: 41%

View: https://analytics.google.com",analytics-noreply@google.com,0
Important: Your Chase subscription is expiring,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-urgent-action.xyz,1
Your Google password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Google account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://google-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Google Security Team",security@google-account-alert.tk,1
Weekly report for mysite.com,"Weekly report for mysite.com:
Sessions: 9359
Users: 28434
Bounce rate: 38%

View: https://analytics.google.com",analytics-noreply@google.com,0
URGENT: Verify your DHL account,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-account-alert.tk,1
USPS: Your package is on hold,"USPS Package Notification

Your package is on hold due to incorrect address.

Update your address and pay the redelivery fee ($3.50):
http://usps-delivery-hold.xyz/update

Payment required within 24 hours.

USPS Delivery Team",tracking@usps-package-hold.com,1
Appointment confirmed - Dr. Johnson,"Dear Patient,

Your appointment is confirmed.

Doctor: Dr. Sarah Johnson, MD
Date: Friday, Dec 20
Time: 10:30 AM
Location: Medical Center, Suite 204

Bring insurance card and photo ID.

Reschedule: https://patient.medicalcenter.org

Reception",appointments@medicalcenter.org,0
Buy cheap prescription pills online,"Best prices on prescription medication — no prescription required!

Order now: http://cheap-pills-online.xyz/order

Free shipping on orders over $50. Discreet packaging.

Online Pharmacy",orders@cheap-pharmacy-pills.tk,1
Security alert: Unusual activity on your Google account,"Dear Customer,

We have detected a problem with your Google account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://google-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Google Security Team",security@google-secure-update.ml,1
Congratulations! You won a PayPal gift card,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-login-verify.net,1
Payment received: $652.42,"You received $652.42 from Dave Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Important: Your Netflix subscription is expiring,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-secure-update.ml,1
Final notice: Microsoft account closure,"Dear Customer,

We have detected a problem with your Microsoft account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://microsoft-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Microsoft Security Team",security@microsoft-login-verify.net,1
npm: Package published successfully,"Hi,

Your package '@myorg/utils' (v2.1.0) was published to the npm registry.

View: https://www.npmjs.com/package/@myorg/utils

npm",npm@npmjs.com,0
Your USPS account has been suspended,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-verify-now.xyz,1
Payment received: $70.23,"You received $70.23 from Dave Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Your Facebook password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Facebook account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://facebook-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Facebook Security Team",security@facebook-claim-reward.click,1
URGENT: Verify your Netflix account,"Dear Customer,

We have detected a problem with your Netflix account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://netflix-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Netflix Security Team",security@netflix-claim-reward.click,1
AWS: Your EC2 instance is running,"Hi,

Your EC2 instance i-0abc123def456 has started successfully.

Region: us-east-1
Instance type: t3.micro
Public IP: 54.123.45.67

Manage: https://console.aws.amazon.com/ec2/

AWS",no-reply@sns.amazonaws.com,0
Action required: Apple billing issue,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-verify-now.xyz,1
You have new messages in #dev,"You have 5681 unread messages in #dev.

Open Slack: https://app.slack.com",notifications@slack.com,0
Congratulations! You won a Facebook gift card,"Dear Customer,

We have detected a problem with your Facebook account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://facebook-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Facebook Security Team",security@facebook-verify-now.xyz,1
You have a new secret admirer,"Someone sent you a secret message!

Click to reveal: http://secret-admirer-reveal.ml/message

Sign up free to see who it is.

Social App",alerts@secret-admirer-app.tk,1
Your build passed on branch hotfix/bug-123,"Build #8822 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/8822",noreply@github.com,0
Security alert: Unusual activity on your Chase account,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-secure-update.ml,1
Your build passed on branch develop,"Build #7908 on develop passed all checks.

View: https://github.com/org/repo/actions/runs/7908",noreply@github.com,0
URGENT: Your account has been suspended,"Dear Customer,

We detected unusual activity on your account. It has been temporarily suspended. Verify your identity immediately:
http://secure-login-verify.xyz/account

Provide: Full name, password, credit card number.

Failure within 24 hours = permanent closure.

Security Team",security@account-secure-verify.com,1
Payment received: $217.8,"You received $217.8 from Alice Lee.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Your build passed on branch hotfix/bug-123,"Build #5887 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/5887",noreply@github.com,0
AWS Budget alert: 52% used,"Your AWS budget ""Monthly Budget"" has reached 52%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
URGENT: Verify your Microsoft account,"Dear Customer,

We have detected a problem with your Microsoft account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://microsoft-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Microsoft Security Team",security@microsoft-claim-reward.click,1
Your DHL password needs to be updated immediately,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-login-verify.net,1
FRONT-321 updated by Dave,"Dave updated FRONT-321: status changed to In Review.

View: https://company.atlassian.net/browse/FRONT-321",jira@atlassian.com,0
AWS Budget alert: 79% used,"Your AWS budget ""Monthly Budget"" has reached 79%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Weekly report for mysite.com,"Weekly report for mysite.com:
Sessions: 30985
Users: 29584
Bounce rate: 35%

View: https://analytics.google.com",analytics-noreply@google.com,0
Security alert: Unusual activity on your USPS account,"Dear Customer,

We have detected a problem with your USPS account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://usps-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

USPS Security Team",security@usps-urgent-action.xyz,1
Your Chase password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-urgent-action.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-urgent-action.xyz,1
Congratulations! You won a Chase gift card,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-account-alert.tk,1
Welcome to FlaskCon 2024,"Hello Developer,

Welcome to FlaskCon 2024! Registration confirmed.

Date: March 15-16, 2024
Location: Tech Convention Center, San Francisco
Ticket: FLASK-2024-00923

Schedule: https://flaskcon.io/2024/schedule

See you there!
FlaskCon Team",registration@flaskcon.io,0
Payment received: $214.84,"You received $214.84 from Frank Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Final notice: DHL account closure,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-claim-reward.click/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-claim-reward.click,1
Action required: Apple billing issue,"Dear Customer,

We have detected a problem with your Apple account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://apple-login-verify.net/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Apple Security Team",security@apple-login-verify.net,1
Airbnb: Booking confirmed,"Your booking is confirmed!

Property: Cozy Studio in Downtown SF
Check-in: Dec 20, 2024
Check-out: Dec 23, 2024
Guests: 2
Total: $387.00

Manage: https://www.airbnb.com/trips

Airbnb",automated@airbnb.com,0
Your build passed on branch hotfix/bug-123,"Build #5461 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/5461",noreply@github.com,0
You have new messages in #frontend,"You have 2080 unread messages in #frontend.

Open Slack: https://app.slack.com",notifications@slack.com,0
DHL: Parcel Delivery Failed - Action Required,"DHL Express Notification

We attempted delivery but were unsuccessful.

Reschedule: http://dhl-delivery-failed.xyz/reschedule

Delivery fee: $2.99. Pay now to receive your package.

Required: Credit card details.

DHL Customer Service",noreply@dhl-delivery-confirm.ml,1
You have new messages in #backend,"You have 6787 unread messages in #backend.

Open Slack: https://app.slack.com",notifications@slack.com,0
Action required: Chase billing issue,"Dear Customer,

We have detected a problem with your Chase account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://chase-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Chase Security Team",security@chase-secure-update.ml,1
Your build passed on branch hotfix/bug-123,"Build #2445 on hotfix/bug-123 passed all checks.

View: https://github.com/org/repo/actions/runs/2445",noreply@github.com,0
"I have recorded you - Pay $1,500 Bitcoin","I have compromising video of you. Pay $1,500 in Bitcoin within 48 hours or I will send it to all your contacts.

Bitcoin address: 1A2B3C4D5E6F7G8H9IXXX

Do not contact police.

Anonymous",anonymous@protonmail-anon.xyz,1
AWS Budget alert: 81% used,"Your AWS budget ""Monthly Budget"" has reached 81%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
AWS Budget alert: 50% used,"Your AWS budget ""Monthly Budget"" has reached 50%.

View: https://console.aws.amazon.com/billing/",no-reply@sns.amazonaws.com,0
Payment received: $1294.85,"You received $1294.85 from Dave Smith.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Google Account: Immediate action required,"We noticed suspicious activity in your Google Account.

Unusual sign-in from Russia detected. Secure your account:
http://google-accounts-verify.ml/secure

If you don't verify within 24 hours, your account will be permanently deleted.

Google Security Team",no-reply@google-account-secure.xyz,1
Security alert: Unusual activity on your Microsoft account,"Dear Customer,

We have detected a problem with your Microsoft account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://microsoft-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Microsoft Security Team",security@microsoft-secure-update.ml,1
GitHub: Your pull request was merged,"Hi developer,

Pull request #342 'Add user authentication module' has been merged into main.

Repo: company/project-name
Merged by: john.doe

View: https://github.com/company/project-name/pull/342

GitHub",noreply@github.com,0
Payment received: $1139.9,"You received $1139.9 from Alice Lee.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Security alert: Unusual activity on your PayPal account,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-secure-update.ml/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-secure-update.ml,1
You have new messages in #frontend,"You have 9676 unread messages in #frontend.

Open Slack: https://app.slack.com",notifications@slack.com,0
Your build passed on branch feature/auth,"Build #7531 on feature/auth passed all checks.

View: https://github.com/org/repo/actions/runs/7531",noreply@github.com,0
Your build passed on branch main,"Build #250 on main passed all checks.

View: https://github.com/org/repo/actions/runs/250",noreply@github.com,0
Congratulations! You won a DHL gift card,"Dear Customer,

We have detected a problem with your DHL account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://dhl-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

DHL Security Team",security@dhl-verify-now.xyz,1
URGENT: Verify your PayPal account,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-account-alert.tk,1
You have new messages in #alerts,"You have 695 unread messages in #alerts.

Open Slack: https://app.slack.com",notifications@slack.com,0
Final notice: PayPal account closure,"Dear Customer,

We have detected a problem with your PayPal account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://paypal-account-alert.tk/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

PayPal Security Team",security@paypal-account-alert.tk,1
Payment received: $857.55,"You received $857.55 from Carol Lee.

Dashboard: https://dashboard.stripe.com",no-reply@stripe.com,0
Your Microsoft password needs to be updated immediately,"Dear Customer,

We have detected a problem with your Microsoft account. You must verify your identity within 24 hours to avoid suspension.

Click here: http://microsoft-verify-now.xyz/verify

Provide your username, password, and credit card details.

Failure to comply will result in permanent account closure.

Microsoft Security Team",security@microsoft-verify-now.xyz,1
You have new messages in #backend,"You have 5247 unread messages in #backend.

Open Slack: https://app.slack.com",notifications@slack.com,0
